SIG_CD,시군구명,2019_노인청소년_예산,"2020_노인,청소년_예산",예산변화량,2019_전체예산,2020_전체예산,2019_노인1인인구,2020_노인1인인구,2019_노인인구,2020_노인인구,총복지시설,노인주거복지시설,노인의료복지시설,노인여가복지시설,재가노인복지시설,노인일자리 지원기관,학대피해노인전용쉼터,치매전담형 장기요양기관,총 종사자수,노인주거복지시설 종사자수,노인의료복지시설 종사자수,노인여가복지시설 종사자수,재가노인복지시설 종사자수,노인일자리 지원기관 종사자수,치매전담형 장기요양기관 종사자수
강원도,태백시,42721,45976,3255,457159,451929,2464,2606,9940,10324,133,0,3,109,20,1,0,0,436,0,156,6,269,5,0
강원도,속초시,48056,58694,10638,514374,545092,3528,3877,13952,14816,128,0,13,91,23,1,0,0,465,0,255,12,192,6,0
강원도,삼척시,70067,82704,12637,817925,781533,3890,4047,15481,16004,264,0,7,243,13,1,0,0,379,0,177,26,170,6,0
강원도,홍천군,57804,72278,14474,733089,746760,3758,3999,16406,17173,242,8,20,206,5,0,0,3,495,29,327,27,97,0,15
강원도,횡성군,47484,48460,976,593291,639664,2568,2811,12445,12989,250,7,17,200,24,1,0,1,615,25,264,0,321,5,0
강원도,영월군,41137,46841,5704,541392,538540,2693,2893,10669,11024,205,1,6,188,8,0,0,2,426,3,178,0,237,0,8
강원도,평창군,37486,42255,4769,549442,590629,2569,2795,10675,11200,198,0,8,180,9,1,0,0,203,0,124,0,73,6,0
강원도,정선군,44991,49260,4269,545931,548568,2264,2464,9508,9837,180,1,8,167,3,1,0,0,191,2,170,0,14,5,0
강원도,철원군,36007,40240,4233,538220,671080,1951,2066,9464,9830,135,0,6,125,2,0,0,2,169,0,145,0,11,0,13
강원도,화천군,26147,28488,2341,403904,474817,1137,1230,5064,5319,96,0,6,88,1,1,0,0,101,0,89,0,8,4,0
강원도,양구군,22703,23371,668,429228,452305,929,955,4324,4493,104,2,4,91,7,0,0,0,160,0,106,0,54,0,0
강원도,인제군,23946,29234,5288,548500,618223,1350,1443,6014,6194,90,0,1,87,1,1,0,0,67,0,52,0,2,13,0
강원도,고성군,31015,37068,6053,471265,448758,1777,1883,7416,7659,124,1,4,111,7,1,0,0,199,7,118,8,61,5,0
강원도,양양군,28210,32707,4497,372715,408459,1796,1902,7556,7945,148,0,6,130,12,0,0,0,271,0,148,34,89,0,0
충청북도,청주시,274163,317810,43647,2905050,3308551,20947,22809,100841,106373,1234,3,105,1062,55,6,0,3,3104,25,2335,110,570,52,12
충청북도,충주시,127376,144244,16868,1281536,1533258,8496,9182,38138,39811,614,8,48,550,2,1,1,4,1047,35,851,98,25,7,31
충청북도,제천시,89865,100484,10619,928228,1110601,6265,6781,26619,27790,387,4,31,340,11,1,0,0,696,16,484,54,126,16,0
충청북도,보은군,41290,49781,8491,476543,505357,2625,2784,10648,10909,299,0,5,290,4,0,0,0,296,0,164,110,22,0,0
충청북도,옥천군,54264,56925,2661,543079,592770,3078,3194,14123,14557,331,1,15,306,7,1,0,1,317,2,243,12,49,6,5
충청북도,영동군,59874,58349,-1525,623825,652560,3423,3502,14373,14601,382,7,21,350,2,0,0,2,368,14,284,16,38,0,16
충청북도,증평군,23366,25019,1653,240236,276270,1379,1509,5846,6143,130,1,10,117,2,0,0,0,209,6,151,10,42,0,0
충청북도,진천군,51856,62950,11094,575581,619769,2645,2897,12395,13002,315,3,16,292,2,1,0,1,378,10,244,82,25,12,5
충청북도,괴산군,43470,48681,5211,562136,609450,2787,2881,12103,12527,355,0,14,334,6,0,0,1,222,0,166,13,33,0,10
충청북도,음성군,65277,70524,5247,701281,792889,3835,4253,18303,19067,434,3,22,398,10,1,0,0,651,19,464,16,133,19,0
충청북도,단양군,37506,41853,4347,440234,473263,2109,2224,8374,8645,177,1,9,163,4,0,0,0,265,6,133,11,115,0,0
충청남도,천안시,178223,204554,26331,2282410,2675034,12574,13953,63526,67177,893,7,66,749,70,1,0,0,1701,31,1160,38,467,5,0
충청남도,공주시,6129,4917,-1212,1096500,1007879,5356,5647,25546,26448,458,1,20,425,11,1,0,0,665,18,470,11,157,9,0
충청남도,보령시,75323,83778,8455,901055,1012332,5352,5710,24116,24988,427,0,11,406,7,1,0,2,540,0,242,24,262,5,7
충청남도,아산시,113775,126848,13073,1460445,1602700,7777,8521,38206,40045,596,2,34,527,29,1,1,2,945,13,647,33,233,5,14
충청남도,서산시,90904,102629,11725,1146766,1128447,5970,6342,29878,31101,421,0,22,386,11,1,0,1,804,0,629,0,163,5,7
충청남도,논산시,92609,104031,11422,947787,1012292,6687,6961,29161,30106,565,4,31,520,7,1,0,2,651,14,547,0,64,12,14
충청남도,계룡시,17179,19731,2552,296281,301849,842,934,4446,4764,51,0,9,38,3,1,0,0,197,0,159,23,3,12,0
충청남도,당진시,81830,93381,11551,1046188,1135079,5667,6055,28986,29933,376,2,17,347,2,1,0,7,771,15,580,82,38,10,46
충청남도,금산군,49480,54186,4706,548788,635238,3474,3680,15181,15613,365,2,20,336,7,0,0,0,319,4,242,0,73,0,0
충청남도,부여군,82128,109787,27659,868034,893112,5012,5233,21508,22051,498,0,16,466,9,1,0,6,568,0,413,0,106,5,44
충청남도,서천군,66627,72235,5608,566572,600930,4431,4619,18048,18417,369,0,9,339,14,1,0,6,505,0,211,64,186,16,28
충청남도,청양군,36220,43517,7297,461083,465077,2455,2496,10516,10762,318,0,7,305,5,1,0,0,170,0,139,10,16,5,0
충청남도,홍성군,75150,80541,5391,706154,738955,4840,5116,22363,22991,408,0,13,377,18,0,0,0,577,0,277,66,234,0,0
충청남도,예산군,68349,76175,7826,712408,797841,4876,5131,23067,23711,415,2,22,380,9,1,0,1,423,12,319,12,71,5,4
충청남도,태안군,62188,73928,11740,674267,697335,3849,4073,17967,18567,254,0,12,236,5,1,0,0,286,0,237,33,10,6,0
전라북도,전주시,238047,277867,39820,1929566,2354178,18627,20219,88563,93161,748,3,39,633,68,0,1,4,1849,33,829,144,811,0,32
전라북도,군산시,149040,176937,27897,1432057,1582203,10145,10940,45913,48059,600,2,29,532,37,0,0,0,1106,20,771,48,267,0,0
전라북도,익산시,174702,212776,38074,1440110,1607367,11459,12171,51541,53525,815,8,46,707,51,2,0,1,1426,94,868,67,356,34,7
전라북도,정읍시,108891,123604,14713,1023089,1070843,7311,7489,28804,29490,758,1,18,712,19,6,0,2,674,6,265,101,179,120,3
전라북도,남원시,78051,91104,13053,875395,965481,5460,5567,21444,22050,529,2,12,494,20,1,0,0,639,4,358,80,192,5,0
전라북도,김제시,94236,110706,16470,981422,1046500,6274,6382,25257,25650,676,9,20,624,21,1,0,1,711,57,297,93,245,15,4
전라북도,완주군,0,0,0,713676,830407,3799,3986,19780,20438,494,4,16,445,27,1,0,1,668,64,407,0,176,14,7
전라북도,진안군,35547,42696,7149,508520,512830,2097,2089,8435,8613,352,0,9,331,12,0,0,0,324,0,142,16,166,0,0
전라북도,무주군,31802,38257,6455,455174,461323,1938,2024,7715,7891,287,0,6,272,8,1,0,0,225,0,128,8,71,18,0
전라북도,장수군,31784,36999,5215,459894,471268,1800,1832,7198,7304,293,0,5,276,10,1,0,1,155,0,66,8,72,5,4
전라북도,임실군,42529,43068,539,464684,513103,2387,2455,9770,9830,372,0,5,348,15,3,0,1,384,0,96,72,134,75,7
전라북도,순창군,41709,41339,-370,456629,458072,2368,2374,9279,9312,381,0,5,373,3,0,0,0,154,0,99,0,55,0,0
전라북도,고창군,66914,75798,8884,689048,753813,4904,4857,18076,18370,613,3,8,592,9,0,0,1,345,32,143,15,150,0,5
전라북도,부안군,60596,63392,2796,661020,677068,4265,4368,16635,16983,503,0,10,475,17,0,0,1,307,0,221,0,85,0,1
전라남도,목포시,114301,124321,10020,1012394,1110526,8424,9091,34821,36087,294,1,31,203,59,0,0,0,1152,13,512,59,568,0,0
전라남도,여수시,158993,175677,16684,1762496,1574419,10618,11139,49609,51995,602,5,30,526,39,1,0,1,940,15,520,44,347,6,8
전라남도,순천시,119306,135727,16421,1374917,1509754,8895,9512,40542,42273,742,4,27,679,23,1,1,7,1101,24,603,37,394,5,38
전라남도,나주시,79874,88269,8395,929894,996356,6088,6418,24658,25257,656,3,20,611,21,1,0,0,567,18,336,34,173,6,0
전라남도,광양시,62768,71664,8896,1081502,1214299,3886,4080,18319,19300,370,1,17,327,23,1,0,1,419,7,236,22,142,5,7
전라남도,담양군,51987,50900,-1087,436506,544745,2852,2994,13816,13960,388,1,17,364,6,0,0,0,369,26,283,8,52,0,0
전라남도,곡성군,39601,40932,1331,446527,501726,2743,2798,10028,10084,350,1,10,325,13,1,0,0,328,7,183,0,133,5,0
전라남도,구례군,28314,33674,5360,346692,425012,2125,2270,8510,8676,292,0,7,277,8,0,0,0,177,0,121,0,56,0,0
전라남도,고흥군,93070,107712,14642,841783,889123,7236,7557,25568,25806,691,0,14,644,32,1,0,0,849,0,375,10,458,6,0
전라남도,보성군,54754,59067,4313,629852,651014,4250,4286,15376,15429,471,1,6,444,19,1,0,0,482,12,92,16,355,7,0
전라남도,화순군,58780,68450,9670,728769,763784,4310,4441,15996,16286,473,1,15,438,19,0,0,0,566,11,227,15,313,0,0
전라남도,장흥군,50408,54390,3982,526517,546985,3610,3661,12611,12720,411,0,5,406,0,0,0,0,129,0,118,11,0,0,0
전라남도,강진군,43941,48432,4491,476137,519352,3250,3384,11828,11883,356,1,7,341,7,0,0,0,189,14,99,0,76,0,0
전라남도,해남군,79019,86927,7908,969256,973483,5745,5940,21811,21957,621,0,20,594,6,0,0,1,370,0,289,20,61,0,0
전라남도,영암군,52320,58578,6258,627476,657002,3503,3586,13835,14074,479,0,11,456,12,0,0,0,287,0,174,7,106,0,0
전라남도,무안군,53777,62754,8977,706770,720477,3745,3853,16599,16858,447,0,19,416,10,0,1,1,370,0,288,0,75,0,7
전라남도,함평군,42677,48641,5964,445836,495271,2942,3050,11421,11564,406,1,13,378,12,0,0,2,392,10,272,7,89,0,14
전라남도,영광군,56358,62051,5693,609737,642286,3688,3845,15045,15194,411,2,10,374,25,0,0,0,509,19,211,1,278,0,0
전라남도,장성군,48393,53077,4684,455804,517252,2845,2900,12936,13067,357,1,7,340,9,0,0,0,300,13,144,4,139,0,0
전라남도,완도군,57486,65497,8011,584175,625273,3700,3848,15734,15921,331,1,11,306,11,1,0,1,318,7,185,11,102,5,8
전라남도,진도군,42251,49238,6987,501811,543030,2856,2945,10111,10085,292,0,4,276,12,0,0,0,247,0,74,24,149,0,0
전라남도,신안군,48945,54010,5065,786575,868200,3458,3516,13958,14072,426,0,10,412,4,0,0,0,154,0,134,0,20,0,0
경상북도,포항시,222397,258450,36053,2238200,2487240,17040,18743,77024,82001,685,2,34,630,16,1,1,1,908,22,701,13,149,19,4
경상북도,경주시,146438,162520,16082,1600000,1763100,12169,13030,52504,54639,676,3,22,628,19,1,0,3,668,23,404,14,202,6,19
경상북도,김천시,96503,113142,16639,1067200,1190000,7148,7482,30318,31252,581,1,41,524,14,1,0,0,774,11,616,20,121,6,0
경상북도,안동시,116892,131462,14570,1390700,1456700,8789,9222,36850,37906,575,4,16,545,9,1,0,0,595,20,439,0,130,6,0
경상북도,구미시,176852,155451,-21401,1504600,1603800,7406,8068,35432,37540,488,2,40,413,30,1,0,2,1140,14,813,11,289,6,7
경상북도,영주시,85166,95093,9927,870000,913122,6028,6306,26341,27259,417,1,23,365,25,1,0,2,932,14,515,17,357,17,12
경상북도,영천시,82540,93280,10740,981083,949209,6572,6834,26844,27672,448,1,16,427,3,1,0,0,323,9,267,1,40,6,0
경상북도,상주시,89932,100658,10726,1252600,1205800,7361,7636,29100,29822,625,2,19,590,13,1,0,0,577,11,441,6,101,18,0
경상북도,문경시,69737,77592,7855,810400,835300,5219,5475,20324,20891,427,2,19,393,12,1,0,0,486,17,381,9,71,8,0
경상북도,경산시,103667,123915,20248,1101600,1412500,8032,8767,40066,42079,464,3,53,396,10,1,0,1,923,17,829,31,33,6,7
경상북도,군위군,33997,34177,180,368613,402726,2272,2321,8983,9176,224,1,4,211,8,0,0,0,157,12,87,0,58,0,0
경상북도,의성군,78609,84261,5652,745716,730000,5597,5662,20570,21005,525,1,19,489,15,1,0,0,509,7,325,23,148,6,0
경상북도,청송군,39354,44456,5102,424435,427831,2251,2353,8957,9135,241,1,5,222,11,1,0,1,334,5,172,0,149,8,0
경상북도,영양군,28113,32274,4161,358000,357000,1603,1677,6084,6118,175,0,6,165,4,0,0,0,139,0,124,0,15,0,0
경상북도,영덕군,45942,50640,4698,585381,574400,3752,3907,13287,13458,247,0,5,241,1,0,0,0,134,0,123,0,11,0,0
경상북도,청도군,46876,51943,5067,423177,492806,3909,3978,15172,15541,343,2,13,318,9,0,0,1,315,5,233,4,68,0,5
경상북도,고령군,32444,35882,3438,360042,377849,2209,2322,9380,9648,213,2,6,205,0,0,0,0,120,24,96,0,0,0,0
경상북도,성주군,43903,50469,6566,556500,553700,2908,3010,13142,13477,299,1,8,283,7,0,0,0,167,7,141,0,19,0,0
경상북도,칠곡군,52512,59941,7429,586810,630900,3326,3612,16692,17488,294,4,24,261,4,1,0,0,511,43,437,2,23,6,0
경상북도,예천군,50003,54846,4843,534874,582059,4231,4306,15876,16389,379,0,6,368,3,0,1,1,256,0,194,12,45,0,5
경상북도,봉화군,41274,45891,4617,502300,510717,2824,2914,11040,11222,271,0,6,263,1,0,0,1,249,0,214,15,10,0,10
경상북도,울진군,52302,51369,-933,892880,741158,3785,3942,13073,13356,265,0,3,255,7,0,0,0,201,0,107,2,92,0,0
경상북도,울릉군,9621,10748,1127,212000,261000,445,507,2290,2341,30,1,2,27,0,0,0,0,23,6,16,1,0,0,0
경상남도,창원시,350570,406408,55838,3734150,4318930,27845,30993,131613,140151,1171,3,50,1044,65,5,1,3,1911,32,1149,105,590,26,9
경상남도,진주시,136255,172358,36103,1778405,1857630,12479,13355,53260,55899,589,0,25,548,9,3,0,4,736,0,619,25,55,17,20
경상남도,통영시,87736,100969,13233,743560,801528,5462,5886,22844,23895,276,3,8,249,15,1,0,0,527,16,260,0,246,5,0
경상남도,사천시,0,0,0,783756,813382,5455,5766,22641,23428,392,1,17,343,27,1,0,3,659,12,452,0,178,5,12
경상남도,김해시,145440,3032,-142408,1853360,2159215,11179,12296,53753,57532,604,0,15,563,24,2,0,0,651,0,385,75,181,10,0
경상남도,밀양시,76636,82460,5824,909777,956623,7443,7787,27561,28549,460,0,18,431,10,1,0,0,393,0,334,0,49,10,0
경상남도,거제시,66228,78876,12648,864741,1179446,4663,5241,23456,24892,349,2,6,322,17,1,0,1,693,16,227,0,438,5,7
경상남도,양산시,117532,137913,20381,1249949,1448673,8926,10111,41664,44631,354,2,20,312,13,2,0,5,660,23,431,34,124,24,24
경상남도,의령군,37192,38552,1360,541205,522770,2976,2962,9584,9689,307,2,5,295,5,0,0,0,135,18,99,0,18,0,0
경상남도,함안군,63613,65263,1650,529491,609744,3925,4139,14825,15354,359,1,12,332,14,0,0,0,432,12,247,0,173,0,0
경상남도,창녕군,76959,86018,9059,611913,671239,4893,4996,18034,18426,420,2,7,401,9,1,0,0,221,40,138,0,35,8,0
경상남도,고성군,53016,59038,6022,635606,668413,4009,4134,15158,15577,342,0,9,325,7,1,0,0,257,0,188,0,64,5,0
경상남도,남해군,55926,58478,2552,554453,593792,4500,4502,15910,15987,283,0,4,266,13,0,0,0,361,0,150,3,208,0,0
경상남도,하동군,53722,60242,6520,606960,687975,3738,3843,14849,15120,401,0,9,385,6,0,0,1,335,0,230,26,74,0,5
경상남도,산청군,45581,54627,9046,524256,550704,3236,3297,12091,12444,370,0,10,344,16,0,0,0,607,0,366,0,241,0,0
경상남도,함양군,46521,51591,5070,536384,571803,3640,3759,12620,12836,431,0,8,410,13,0,0,0,306,0,226,0,80,0,0
경상남도,거창군,59696,66484,6788,755662,683514,4472,4599,16214,16603,463,0,9,441,12,1,0,0,424,0,238,14,161,11,0
경상남도,합천군,57028,62624,5596,673109,723649,4994,5057,17088,17244,539,0,6,525,7,1,0,0,340,0,266,0,69,5,0
제주특별자치도,제주시,331304,364400,33096,5787954,6236201,11295,12217,63813,66690,398,2,45,315,34,1,1,0,1805,24,1494,15,249,23,0
제주특별자치도,서귀포시,위에랑 나눠야함,위에랑 나눠야함,,,,5537,5966,32394,33707,194,0,20,154,18,1,0,1,886,0,700,13,164,8,1
